Nom,Plateforme,À quoi ça sert ?,Open / Propriétaire,Prix,URL,État,Lin,Win,Mac,RPI,And
HAM-Clock,Linux,Horloge,Open,Gratuit,https://www.clearskyinstitute.com/ham/HamClock/ https://dl1gkk.com/ham-clock-raspberry-pi/,OK,X,,,X,
SARTrack,Windows/Android,APRS pour Search & Rescue,Propriétaire,Gratuit sous certaines conditions,https://www.sartrack.co.nz/,OK,X,,,,X
Suite UZ7HO,Windows ,Suite pour le packet radio AX25,Propriétaire,Gratuit,http://uz7.ho.ua/packetradio.htm,OK,,X,,,
Universal HAMRadio Remote,Raspberrypi,Pilotage via Web d'un émetteur récepteur,Open,Gratuit,https://github.com/F4HTB/Universal_HamRadio_Remote_HTML5,OK,,,,X,
HAMPi,Raspberrypi,Distribution Linux Raspberry Pi,Open,Gratuit,https://github.com/dslotter/HamPi,OK,,,,X,
PI_Build,Raspberrypi,Installeur pour applis radio,Open,Gratuit,https://github.com/km4ack/pi-build,OK,,,,X,
RPITX,Raspberrypi,Emetteur pour le raspberry pi,Open,Gratuit,https://github.com/F5OEO/rpitx,OK,,,,X,
Win-Test,Windows,Gestion de concours radio,Propriétaire,50€,http://www.win-test.com/ ,OK,,X,,,
X,Windows,Décodeur modes numériques,Propriétaire,30€,http://f6cte.free.fr/ ,OK,,X,,,
yand,Windows,Décodeur NAVTEX,Propriétaire,Gratuit,https://www.ndblist.info/datamodes.htm,OK,,X,,,
Yadd,Windows,Décodeur DSC,Propriétaire,Gratuit,https://www.ndblist.info/datamodes.htm,OK,,X,,,
Redhawk,Linux,Traitement du signal,Open,Gratuit,https://github.com/RedhawkSDR/redhawk/releases,OK,X,,,,
Inspectrum,Linux,Analyse de signal,Open,Gratuit,https://github.com/miek/inspectrum,OK,X,,,,
Universal Radio Hacker,Multiplateforme,Détection et décodage multimodes,Open,Gratuit,https://github.com/jopohl/urh,OK,,,,,
LUARadio,Linux/MacOS,Traitement du signal genre GNURadio,Open,Gratuit,https://github.com/vsergeev/luaradio,OK,X,,X,,
RTLSDR-Airband,Linux,Streaming de voix reçues en SDR (Vers LiveATC),Open,Gratuit,https://github.com/szpajder/RTLSDR-Airband,OK,X,,,,
DumpVDL2,Linux/MacOS,Analyseur VDL Mode 2,Open,Gratuit,https://github.com/szpajder/dumpvdl2,OK,X,,X,,
csdr,Linux,Réception SDR en ligne de commande,Open,Gratuit,https://github.com/ha7ilm/csdr,Abandonné ?,X,,,X,
DXLab suite,Windows,Suite d'outils pour radioamateurs,Propriétaire,Gratuit,https://www.dxlabsuite.com/,OK,,X,,,
Easypal,Windows,Émission/réception SSTV,Propriétaire,Gratuit,http://www.vk3evl.com/index.php?option=com_content&view=article&id=57&Itemid=62,Abandonné,,X,,,
jPSKmail,Multiplateforme,Passerelle Mail/HF,Open,Gratuit,http://www.pskmail.org/,OK,X,X,X,X,
JS8Call,Multiplateforme,Dérivé de WSJTX pour le protocole JS8,Open,Gratuit,http://js8call.com/,OK,X,X,X,,
JTDX,Multiplateforme,Alternative à WSJTDX,Open,Gratuit,https://www.jtdx.tech/en/,OK,X,X,X,X,
OpenCPN,Multiplateforme,Affichage position bateaux en AIS,Open,Gratuit,https://opencpn.org/,OK,X,X,X,X,
PC-ALE,Windows,Transmission HF (Automatic Link Establishment),Propriétaire,Gratuit,http://hflink.com/pcale/,OK,,X,,,
Pothos SDR,Multiplateforme,Alternative à GNURadio,Open,Gratuit,https://github.com/pothosware/PothosSDR,OK,X,X,X,,
RMS Express/Winlink,Windows,Passerelle Mail/HF,Propriétaire,Gratuit,https://www.winlink.org/,OK,,X,,,
Yoniq,Windows,Évolution de MMSSTV pour faire de la... SSTV,Open,Gratuit,https://hamsoft.ca/pages/mmsstv-yoniq.php,OK,,X,,,
SIGINTOS,Linux,Distribution analyse de signaux,Open?,Gratuit,https://www.sigintos.com/,OK,X,,,,
Skywave Schedules,Android,Programmation des radios ondes courtes,Propriétaire,Gratuit,https://play.google.com/store/apps/details?id=swbcdx.cap.shortwavelist ,OK,,,,,
WinRPR,Windows,Robust Packet Radio,Propriétaire,Gratuit,https://vapn.org/news/winrpr-saving-robust-packet-from-oblivion.html ,OK,,X,,,
